weight,head1,head2,trait,Epirhyssa mellicandens,Epirhyssa quagga,Epirhyssa tombeaodiba,Epirhyssa overlaeti,Epirhyssa uelensis,Epirhyssa 4920
1,Head,Frons,Frons median carinae,diverge,n,converge,converge,converge,n
1,Head,Frons,Frons lateral carinae,n,n,n,y,y,n
1,Head,Frons,Frons ripples,NA,y,n,n,NA,n
1,Head,Hypostomal carina,Hypostomal carina swollen,y,n,n,y,y,n
1,Mesosoma,Subalar prominence,Subalar prominence concave,y,n,n,n,y,n
1,Mesosoma,Subalar prominence,anterior part of lower ridge behind subalar prominence,level,down,down,level,level,down
1,Mesosoma,Subalar prominence,posterior part of lower ridge behind subalar prominence,level,down,level,level,level,down
1,Mesosoma,Epicnemial carina,Epicnemial carina lateral height,level,level,level,level,level,none
1,Metasoma,Apical horn,Round apical horn cross section,n,y,n,y,y,n
1,Metasoma,Tergite 3,Tergite 3 structured >50% of surface,n,striate,punctate,n,n,NA
0.25,Colour,General colour,General colouration,O,BWO,Y,RY,Y,O
0.25,Colour,Mesoscutum lateral lobes,Mesoscutum lateral lobes,O,B,B,B,B,O
0.25,Colour,Mesoscutum centre,Mesoscutum centre,O,B,B,B,B,O
0.25,Colour,Wings,Wings hyaline,y,y,y,y,y,y